n	method	F1_score
50	StARS_MB	0.2191780821917808
100	StARS_MB	0.5113636363636364
200	StARS_MB	0.6971428571428572
1000	StARS_MB	0.9949238578680203
50	BDgraph_bdmcmc	0.2289156626506024
100	BDgraph_bdmcmc	0.4880952380952381
200	BDgraph_bdmcmc	0.7065217391304348
1000	BDgraph_bdmcmc	0.9658536585365853
