n	method	F1_score
50	StARS_MB	0.27184466019417475
100	StARS_MB	0.5714285714285714
200	StARS_MB	0.8610169491525423
1000	StARS_MB	0.9966777408637874
50	BDgraph_bdmcmc	0.26382978723404255
100	BDgraph_bdmcmc	0.6053639846743295
200	BDgraph_bdmcmc	0.872852233676976
1000	BDgraph_bdmcmc	0.9710610932475884
