n	method	F1_score
50	StARS_MB	0.7772020725388601
100	StARS_MB	0.9074074074074074
200	StARS_MB	0.9801980198019802
1000	StARS_MB	0.99
50	BDgraph_bdmcmc	0.7102803738317757
100	BDgraph_bdmcmc	0.8909090909090909
200	BDgraph_bdmcmc	0.9519230769230769
1000	BDgraph_bdmcmc	0.99
