n	method	F1_score
50	StARS_MB	0.24128686327077747
100	StARS_MB	0.4
200	StARS_MB	0.5502392344497608
1000	StARS_MB	0.8406909788867563
50	BDgraph_bdmcmc	0.2773722627737226
100	BDgraph_bdmcmc	0.430622009569378
200	BDgraph_bdmcmc	0.694560669456067
1000	BDgraph_bdmcmc	0.9849246231155779
