n	tpr	fpr	method
50	0.8210526315789474	0.13429454170957775	StARS_MB
50	0.7789473684210526	0.08568486096807415	StARS_MB
50	0.7263157894736842	0.06920700308959835	StARS_MB
50	0.6947368421052632	0.05643666323377961	StARS_MB
50	0.6842105263157895	0.04881565396498455	StARS_MB
50	0.6736842105263158	0.043666323377960864	StARS_MB
50	0.6736842105263158	0.03851699279093718	StARS_MB
50	0.6526315789473685	0.03542739443872297	StARS_MB
50	0.6105263157894737	0.03110195674562307	StARS_MB
50	0.5894736842105263	0.028424304840370753	StARS_MB
50	0.5894736842105263	0.02512873326467559	StARS_MB
50	0.5368421052631579	0.023480947476828013	StARS_MB
50	0.5368421052631579	0.021009268795056643	StARS_MB
50	0.5052631578947369	0.019979402677651904	StARS_MB
50	0.49473684210526314	0.019773429454170956	StARS_MB
50	0.47368421052631576	0.018949536560247168	StARS_MB
50	0.47368421052631576	0.017713697219361484	StARS_MB
50	0.4631578947368421	0.01709577754891864	StARS_MB
50	0.4631578947368421	0.016889804325437692	StARS_MB
50	0.45263157894736844	0.01565396498455201	StARS_MB
50	0.45263157894736844	0.015447991761071062	StARS_MB
50	0.4421052631578947	0.014624098867147271	StARS_MB
50	0.4421052631578947	0.014212152420185377	StARS_MB
50	0.43157894736842106	0.01380020597322348	StARS_MB
50	0.43157894736842106	0.012976313079299692	StARS_MB
50	0.43157894736842106	0.012770339855818744	StARS_MB
50	0.43157894736842106	0.012152420185375901	StARS_MB
50	0.43157894736842106	0.011122554067971163	StARS_MB
50	0.43157894736842106	0.010916580844490216	StARS_MB
50	0.42105263157894735	0.010916580844490216	StARS_MB
50	0.3894736842105263	0.010710607621009269	StARS_MB
50	0.3894736842105263	0.010710607621009269	StARS_MB
50	0.3894736842105263	0.010504634397528322	StARS_MB
50	0.3894736842105263	0.010298661174047374	StARS_MB
50	0.3894736842105263	0.009886714727085478	StARS_MB
50	0.3894736842105263	0.009680741503604531	StARS_MB
50	0.3894736842105263	0.009268795056642637	StARS_MB
50	0.3894736842105263	0.008650875386199793	StARS_MB
50	0.37894736842105264	0.008032955715756952	StARS_MB
50	0.3684210526315789	0.007826982492276004	StARS_MB
50	0.3684210526315789	0.007621009268795056	StARS_MB
50	0.3684210526315789	0.007209062821833162	StARS_MB
50	0.3684210526315789	0.007209062821833162	StARS_MB
50	0.35789473684210527	0.007003089598352214	StARS_MB
50	0.35789473684210527	0.006591143151390319	StARS_MB
50	0.35789473684210527	0.006385169927909372	StARS_MB
50	0.35789473684210527	0.006179196704428424	StARS_MB
50	0.35789473684210527	0.005355303810504634	StARS_MB
50	0.3473684210526316	0.005149330587023687	StARS_MB
50	0.3368421052631579	0.004737384140061792	StARS_MB
50	0.3368421052631579	0.004325437693099897	StARS_MB
50	0.3368421052631579	0.004325437693099897	StARS_MB
50	0.3368421052631579	0.004325437693099897	StARS_MB
50	0.3263157894736842	0.003913491246138002	StARS_MB
50	0.3263157894736842	0.003913491246138002	StARS_MB
50	0.3263157894736842	0.0037075180226570545	StARS_MB
50	0.3263157894736842	0.0037075180226570545	StARS_MB
50	0.3157894736842105	0.003501544799176107	StARS_MB
50	0.3157894736842105	0.003501544799176107	StARS_MB
50	0.3157894736842105	0.003089598352214212	StARS_MB
50	0.3157894736842105	0.003089598352214212	StARS_MB
50	0.30526315789473685	0.003089598352214212	StARS_MB
50	0.30526315789473685	0.003089598352214212	StARS_MB
50	0.30526315789473685	0.003089598352214212	StARS_MB
50	0.29473684210526313	0.003089598352214212	StARS_MB
50	0.29473684210526313	0.002883625128733265	StARS_MB
50	0.28421052631578947	0.002883625128733265	StARS_MB
50	0.2736842105263158	0.002883625128733265	StARS_MB
50	0.25263157894736843	0.002883625128733265	StARS_MB
50	0.25263157894736843	0.002883625128733265	StARS_MB
50	0.25263157894736843	0.002883625128733265	StARS_MB
50	0.25263157894736843	0.002677651905252317	StARS_MB
50	0.25263157894736843	0.002677651905252317	StARS_MB
50	0.24210526315789474	0.002677651905252317	StARS_MB
50	0.22105263157894736	0.002677651905252317	StARS_MB
50	0.22105263157894736	0.002677651905252317	StARS_MB
50	0.22105263157894736	0.0022657054582904223	StARS_MB
50	0.21052631578947367	0.0018537590113285273	StARS_MB
50	0.2	0.0018537590113285273	StARS_MB
50	0.18947368421052632	0.0016477857878475798	StARS_MB
50	0.18947368421052632	0.0014418125643666324	StARS_MB
50	0.17894736842105263	0.0014418125643666324	StARS_MB
50	0.16842105263157894	0.0014418125643666324	StARS_MB
50	0.16842105263157894	0.0012358393408856848	StARS_MB
50	0.16842105263157894	0.0012358393408856848	StARS_MB
50	0.15789473684210525	0.0010298661174047373	StARS_MB
50	0.15789473684210525	0.0010298661174047373	StARS_MB
50	0.15789473684210525	0.0010298661174047373	StARS_MB
50	0.14736842105263157	0.0010298661174047373	StARS_MB
50	0.14736842105263157	0.0010298661174047373	StARS_MB
50	0.14736842105263157	0.0010298661174047373	StARS_MB
50	0.14736842105263157	0.0010298661174047373	StARS_MB
50	0.14736842105263157	0.0010298661174047373	StARS_MB
50	0.1368421052631579	0.0010298661174047373	StARS_MB
50	0.12631578947368421	8.238928939237899e-4	StARS_MB
50	0.12631578947368421	4.1194644696189496e-4	StARS_MB
50	0.11578947368421053	4.1194644696189496e-4	StARS_MB
50	0.10526315789473684	2.0597322348094748e-4	StARS_MB
50	0.10526315789473684	2.0597322348094748e-4	StARS_MB
50	0.07368421052631578	2.0597322348094748e-4	StARS_MB
50	0	0	StARS_MB
100	0.9894736842105263	0.15159629248197734	StARS_MB
100	0.9789473684210527	0.1015447991761071	StARS_MB
100	0.968421052631579	0.08300720906282183	StARS_MB
100	0.968421052631579	0.0698249227600412	StARS_MB
100	0.968421052631579	0.061380020597322345	StARS_MB
100	0.9578947368421052	0.055612770339855816	StARS_MB
100	0.9473684210526315	0.05046343975283213	StARS_MB
100	0.9473684210526315	0.045108135942327494	StARS_MB
100	0.9473684210526315	0.0411946446961895	StARS_MB
100	0.9473684210526315	0.03851699279093718	StARS_MB
100	0.9368421052631579	0.03625128733264676	StARS_MB
100	0.9368421052631579	0.034397528321318226	StARS_MB
100	0.9368421052631579	0.03274974253347065	StARS_MB
100	0.9368421052631579	0.031513903192584965	StARS_MB
100	0.9368421052631579	0.029660144181256436	StARS_MB
100	0.9368421052631579	0.027806385169927908	StARS_MB
100	0.9263157894736842	0.026776519052523172	StARS_MB
100	0.9263157894736842	0.024716786817713696	StARS_MB
100	0.9157894736842105	0.023480947476828013	StARS_MB
100	0.9157894736842105	0.02286302780638517	StARS_MB
100	0.9157894736842105	0.02203913491246138	StARS_MB
100	0.9157894736842105	0.020803295571575696	StARS_MB
100	0.9157894736842105	0.019979402677651904	StARS_MB
100	0.9157894736842105	0.019361483007209062	StARS_MB
100	0.9157894736842105	0.018949536560247168	StARS_MB
100	0.9157894736842105	0.018537590113285273	StARS_MB
100	0.9157894736842105	0.01791967044284243	StARS_MB
100	0.9157894736842105	0.017301750772399586	StARS_MB
100	0.9157894736842105	0.016477857878475798	StARS_MB
100	0.9157894736842105	0.01627188465499485	StARS_MB
100	0.9052631578947369	0.01565396498455201	StARS_MB
100	0.9052631578947369	0.014624098867147271	StARS_MB
100	0.9052631578947369	0.014212152420185377	StARS_MB
100	0.9052631578947369	0.014212152420185377	StARS_MB
100	0.9052631578947369	0.013594232749742533	StARS_MB
100	0.9052631578947369	0.012976313079299692	StARS_MB
100	0.9052631578947369	0.012770339855818744	StARS_MB
100	0.8842105263157894	0.011740473738414007	StARS_MB
100	0.8842105263157894	0.010710607621009269	StARS_MB
100	0.8842105263157894	0.010298661174047374	StARS_MB
100	0.8842105263157894	0.010092687950566427	StARS_MB
100	0.8736842105263158	0.009680741503604531	StARS_MB
100	0.8736842105263158	0.00906282183316169	StARS_MB
100	0.8736842105263158	0.008856848609680742	StARS_MB
100	0.8736842105263158	0.008444902162718846	StARS_MB
100	0.8736842105263158	0.008238928939237899	StARS_MB
100	0.8736842105263158	0.008032955715756952	StARS_MB
100	0.8736842105263158	0.008032955715756952	StARS_MB
100	0.8736842105263158	0.007826982492276004	StARS_MB
100	0.8631578947368421	0.007621009268795056	StARS_MB
100	0.8526315789473684	0.007621009268795056	StARS_MB
100	0.8526315789473684	0.007415036045314109	StARS_MB
100	0.8526315789473684	0.007415036045314109	StARS_MB
100	0.8526315789473684	0.007003089598352214	StARS_MB
100	0.8526315789473684	0.006797116374871267	StARS_MB
100	0.8526315789473684	0.006591143151390319	StARS_MB
100	0.8526315789473684	0.006179196704428424	StARS_MB
100	0.8526315789473684	0.006179196704428424	StARS_MB
100	0.8421052631578947	0.005973223480947477	StARS_MB
100	0.8421052631578947	0.00576725025746653	StARS_MB
100	0.8421052631578947	0.005355303810504634	StARS_MB
100	0.8421052631578947	0.005355303810504634	StARS_MB
100	0.8421052631578947	0.005149330587023687	StARS_MB
100	0.8421052631578947	0.004531410916580845	StARS_MB
100	0.8210526315789474	0.004119464469618949	StARS_MB
100	0.8210526315789474	0.003913491246138002	StARS_MB
100	0.8210526315789474	0.003913491246138002	StARS_MB
100	0.8105263157894737	0.003913491246138002	StARS_MB
100	0.8105263157894737	0.003913491246138002	StARS_MB
100	0.8	0.0037075180226570545	StARS_MB
100	0.8	0.003501544799176107	StARS_MB
100	0.7894736842105263	0.003501544799176107	StARS_MB
100	0.7684210526315789	0.0032955715756951597	StARS_MB
100	0.7684210526315789	0.003089598352214212	StARS_MB
100	0.7368421052631579	0.002883625128733265	StARS_MB
100	0.7368421052631579	0.002883625128733265	StARS_MB
100	0.7368421052631579	0.002677651905252317	StARS_MB
100	0.7157894736842105	0.002677651905252317	StARS_MB
100	0.7157894736842105	0.002677651905252317	StARS_MB
100	0.7157894736842105	0.002677651905252317	StARS_MB
100	0.7052631578947368	0.002677651905252317	StARS_MB
100	0.7052631578947368	0.0022657054582904223	StARS_MB
100	0.7052631578947368	0.0022657054582904223	StARS_MB
100	0.6736842105263158	0.0022657054582904223	StARS_MB
100	0.6631578947368421	0.0020597322348094747	StARS_MB
100	0.6210526315789474	0.0018537590113285273	StARS_MB
100	0.6105263157894737	0.0016477857878475798	StARS_MB
100	0.5894736842105263	0.0016477857878475798	StARS_MB
100	0.5684210526315789	0.0016477857878475798	StARS_MB
100	0.5578947368421052	0.0014418125643666324	StARS_MB
100	0.5473684210526316	0.0012358393408856848	StARS_MB
100	0.5473684210526316	0.0012358393408856848	StARS_MB
100	0.5263157894736842	0.0010298661174047373	StARS_MB
100	0.5157894736842106	0.0010298661174047373	StARS_MB
100	0.5052631578947369	0.0010298661174047373	StARS_MB
100	0.49473684210526314	0.0010298661174047373	StARS_MB
100	0.45263157894736844	0.0010298661174047373	StARS_MB
100	0.43157894736842106	8.238928939237899e-4	StARS_MB
100	0.3894736842105263	4.1194644696189496e-4	StARS_MB
100	0.3368421052631579	2.0597322348094748e-4	StARS_MB
100	0	0	StARS_MB
200	1	0.17157569515962925	StARS_MB
200	1	0.1066941297631308	StARS_MB
200	1	0.08218331616889804	StARS_MB
200	1	0.06714727085478887	StARS_MB
200	1	0.05890834191555098	StARS_MB
200	1	0.04943357363542739	StARS_MB
200	1	0.04387229660144181	StARS_MB
200	1	0.03748712667353244	StARS_MB
200	1	0.03419155509783728	StARS_MB
200	1	0.03171987641606591	StARS_MB
200	1	0.029660144181256436	StARS_MB
200	1	0.027188465499485066	StARS_MB
200	1	0.025746652935118436	StARS_MB
200	1	0.023892893923789908	StARS_MB
200	1	0.022451081359423274	StARS_MB
200	1	0.019979402677651904	StARS_MB
200	1	0.01874356333676622	StARS_MB
200	1	0.017507723995880537	StARS_MB
200	1	0.016683831101956745	StARS_MB
200	1	0.01565396498455201	StARS_MB
200	1	0.014830072090628218	StARS_MB
200	1	0.01380020597322348	StARS_MB
200	1	0.012770339855818744	StARS_MB
200	0.9894736842105263	0.012358393408856848	StARS_MB
200	0.9789473684210527	0.012358393408856848	StARS_MB
200	0.9789473684210527	0.011946446961894954	StARS_MB
200	0.9789473684210527	0.010092687950566427	StARS_MB
200	0.9789473684210527	0.009474768280123584	StARS_MB
200	0.9789473684210527	0.009268795056642637	StARS_MB
200	0.9789473684210527	0.008650875386199793	StARS_MB
200	0.9789473684210527	0.008444902162718846	StARS_MB
200	0.9789473684210527	0.008444902162718846	StARS_MB
200	0.9789473684210527	0.007826982492276004	StARS_MB
200	0.9789473684210527	0.007415036045314109	StARS_MB
200	0.9789473684210527	0.007209062821833162	StARS_MB
200	0.9789473684210527	0.007003089598352214	StARS_MB
200	0.9789473684210527	0.006591143151390319	StARS_MB
200	0.9789473684210527	0.005973223480947477	StARS_MB
200	0.9789473684210527	0.005561277033985582	StARS_MB
200	0.9789473684210527	0.005149330587023687	StARS_MB
200	0.9789473684210527	0.004737384140061792	StARS_MB
200	0.9789473684210527	0.004737384140061792	StARS_MB
200	0.968421052631579	0.004325437693099897	StARS_MB
200	0.968421052631579	0.004325437693099897	StARS_MB
200	0.968421052631579	0.004325437693099897	StARS_MB
200	0.968421052631579	0.003913491246138002	StARS_MB
200	0.968421052631579	0.003913491246138002	StARS_MB
200	0.968421052631579	0.0037075180226570545	StARS_MB
200	0.968421052631579	0.0032955715756951597	StARS_MB
200	0.968421052631579	0.0032955715756951597	StARS_MB
200	0.968421052631579	0.0032955715756951597	StARS_MB
200	0.968421052631579	0.0032955715756951597	StARS_MB
200	0.968421052631579	0.003089598352214212	StARS_MB
200	0.968421052631579	0.002677651905252317	StARS_MB
200	0.968421052631579	0.0024716786817713696	StARS_MB
200	0.968421052631579	0.0020597322348094747	StARS_MB
200	0.9578947368421052	0.0020597322348094747	StARS_MB
200	0.9578947368421052	0.0018537590113285273	StARS_MB
200	0.9578947368421052	0.0018537590113285273	StARS_MB
200	0.9578947368421052	0.0018537590113285273	StARS_MB
200	0.9578947368421052	0.0016477857878475798	StARS_MB
200	0.9578947368421052	0.0014418125643666324	StARS_MB
200	0.9578947368421052	0.0014418125643666324	StARS_MB
200	0.9578947368421052	0.0014418125643666324	StARS_MB
200	0.9578947368421052	0.0012358393408856848	StARS_MB
200	0.9578947368421052	0.0012358393408856848	StARS_MB
200	0.9578947368421052	0.0012358393408856848	StARS_MB
200	0.9578947368421052	0.0010298661174047373	StARS_MB
200	0.9578947368421052	0.0010298661174047373	StARS_MB
200	0.9578947368421052	0.0010298661174047373	StARS_MB
200	0.9578947368421052	8.238928939237899e-4	StARS_MB
200	0.9578947368421052	8.238928939237899e-4	StARS_MB
200	0.9578947368421052	6.179196704428424e-4	StARS_MB
200	0.9578947368421052	4.1194644696189496e-4	StARS_MB
