n	tpr	fpr	method
50	0.5306122448979592	0.1793384879725086	StARS_MB
50	0.4489795918367347	0.11640893470790378	StARS_MB
50	0.41496598639455784	0.09106529209621993	StARS_MB
50	0.3877551020408163	0.0740979381443299	StARS_MB
50	0.35374149659863946	0.06314432989690721	StARS_MB
50	0.35034013605442177	0.05262027491408935	StARS_MB
50	0.3435374149659864	0.04725085910652921	StARS_MB
50	0.3231292517006803	0.044243986254295535	StARS_MB
50	0.3163265306122449	0.04016323024054983	StARS_MB
50	0.3163265306122449	0.03715635738831615	StARS_MB
50	0.29931972789115646	0.03479381443298969	StARS_MB
50	0.29931972789115646	0.03329037800687285	StARS_MB
50	0.2891156462585034	0.030713058419243985	StARS_MB
50	0.282312925170068	0.029209621993127148	StARS_MB
50	0.2789115646258503	0.0272766323024055	StARS_MB
50	0.272108843537415	0.02577319587628866	StARS_MB
50	0.2687074829931973	0.02469931271477663	StARS_MB
50	0.25510204081632654	0.024054982817869417	StARS_MB
50	0.25510204081632654	0.022336769759450172	StARS_MB
50	0.25170068027210885	0.021262886597938145	StARS_MB
50	0.24829931972789115	0.020833333333333332	StARS_MB
50	0.24489795918367346	0.020189003436426118	StARS_MB
50	0.24149659863945577	0.01997422680412371	StARS_MB
50	0.23469387755102042	0.019329896907216496	StARS_MB
50	0.22448979591836735	0.019329896907216496	StARS_MB
50	0.22108843537414966	0.018470790378006873	StARS_MB
50	0.21768707482993196	0.016967353951890033	StARS_MB
50	0.21768707482993196	0.01610824742268041	StARS_MB
50	0.21428571428571427	0.0156786941580756	StARS_MB
50	0.2108843537414966	0.015034364261168385	StARS_MB
50	0.20748299319727892	0.014604810996563574	StARS_MB
50	0.20748299319727892	0.014175257731958763	StARS_MB
50	0.20408163265306123	0.014175257731958763	StARS_MB
50	0.20068027210884354	0.01331615120274914	StARS_MB
50	0.19387755102040816	0.01331615120274914	StARS_MB
50	0.19387755102040816	0.012671821305841924	StARS_MB
50	0.18027210884353742	0.012671821305841924	StARS_MB
50	0.17346938775510204	0.01245704467353952	StARS_MB
50	0.17346938775510204	0.011597938144329897	StARS_MB
50	0.17346938775510204	0.01095360824742268	StARS_MB
50	0.17346938775510204	0.01052405498281787	StARS_MB
50	0.17006802721088435	0.01052405498281787	StARS_MB
50	0.16326530612244897	0.010309278350515464	StARS_MB
50	0.1598639455782313	0.009664948453608248	StARS_MB
50	0.1598639455782313	0.00902061855670103	StARS_MB
50	0.1564625850340136	0.00816151202749141	StARS_MB
50	0.1564625850340136	0.007946735395189003	StARS_MB
50	0.1564625850340136	0.007731958762886598	StARS_MB
50	0.1564625850340136	0.007731958762886598	StARS_MB
50	0.1564625850340136	0.007731958762886598	StARS_MB
50	0.15306122448979592	0.007302405498281787	StARS_MB
50	0.15306122448979592	0.007087628865979381	StARS_MB
50	0.15306122448979592	0.007087628865979381	StARS_MB
50	0.15306122448979592	0.007087628865979381	StARS_MB
50	0.15306122448979592	0.007087628865979381	StARS_MB
50	0.14965986394557823	0.00665807560137457	StARS_MB
50	0.14625850340136054	0.00665807560137457	StARS_MB
50	0.14285714285714285	0.006443298969072165	StARS_MB
50	0.14285714285714285	0.005584192439862543	StARS_MB
50	0.13945578231292516	0.0053694158075601375	StARS_MB
50	0.1360544217687075	0.005154639175257732	StARS_MB
50	0.1326530612244898	0.004725085910652921	StARS_MB
